type,properties.Name,properties.description,properties.altitudeMode,properties.WEBSITE,properties.CITY,properties.ZIP,properties.SCHOOLNAME,properties.TEA,properties.LEVEL,properties.PHONE,properties.SLN,properties.FID,properties.ADDRESS,properties.Field_1,geometry.type,Longtitude,Latitude,lat_long
Feature,Seagoville Middle School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/seagovillems"">http://www.dallasisd.org/seagovillems</a>",Dallas,75253,Seagoville Middle School,69,Middle,9728927100,69,1,950 Woody Rd.,Seagoville Middle School,Point,-96.58335217,32.68191671,"32.68191671,-96.58335217"
Feature,Kennedy-Curry Middle School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/kennedycurry"">http://www.dallasisd.org/kennedycurry</a>",Dallas,75241,Kennedy-Curry Middle School,354,Middle,9729251600,354,2,6605 Sebring Dr.,Kennedy-Curry Middle School,Point,-96.75787407,32.66096209,"32.66096209,-96.75787407"
Feature,Dade Middle School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/dade"">http://www.dallasisd.org/dade</a>",Dallas,75215,Dade Middle School,62,Middle,9727493800,62,3,2727 Al Lipscomb Way,Dade Middle School,Point,-96.77342108,32.77121802,"32.77121802,-96.77342108"
Feature,Lang Sr. Middle School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/lang"">http://www.dallasisd.org/lang</a>",Dallas,75228,Lang Sr. Middle School,76,Middle,9729252400,76,4,1678 Chenault St.,Lang Sr. Middle School,Point,-96.68680553,32.80176883,"32.80176883,-96.68680553"
Feature,Richards STEAM Academy Middle School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/annrichards"">http://www.dallasisd.org/annrichards</a>",Dallas,75227,Richards STEAM Academy Middle School,353,Middle,9728925400,353,5,3831 N. Prairie Creek Rd.,Richards STEAM Academy Middle School,Point,-96.66630353,32.77002783,"32.77002783,-96.66630353"
Feature,Long Middle School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/long"">http://www.dallasisd.org/long</a>",Dallas,75214,Long Middle School,53,Middle,9725024700,53,6,6116 Reiger Ave.,Long Middle School,Point,-96.75030433,32.8069496,"32.8069496,-96.75030433"
Feature,Rusk Middle School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/rusk"">http://www.dallasisd.org/rusk</a>",Dallas,75235,Rusk Middle School,55,Middle,9729252000,55,7,2929 Inwood Rd.,Rusk Middle School,Point,-96.83487937,32.82672382,"32.82672382,-96.83487937"
Feature,Medrano Junior High School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/panchomedrano"">http://www.dallasisd.org/panchomedrano</a>",Dallas,75220,Medrano Junior High School,79,Middle,9729251300,79,8,9815 Brockbank Dr,Medrano Junior High School,Point,-96.8763689,32.87256699,"32.87256699,-96.8763689"
Feature,Garcia Middle School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/garcia"">http://www.dallasisd.org/garcia</a>",Dallas,75203,Garcia Middle School,77,Middle,9725025500,77,9,700 E. Eighth St.,Garcia Middle School,Point,-96.81389343,32.74986164,"32.74986164,-96.81389343"
Feature,San Jacinto Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/sanjacinto"">http://www.dallasisd.org/sanjacinto</a>",Dallas,75227,San Jacinto Elementary School,207,Elementary,9727494200,207,190,7900 Hume Dr.,San Jacinto Elementary School,Point,-96.68595941,32.75697709,"32.75697709,-96.68595941"
Feature,Bush Elementary School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/georgehwbush"">http://www.dallasisd.org/georgehwbush</a>",Addison,75001,Bush Elementary School,304,Elementary,9729251700,304,195,3939 Spring Valley Rd.,Bush Elementary School,Point,-96.84983282,32.94183228,"32.94183228,-96.84983282"
Feature,Skyline High School,,clampToGround,"<a target=""_blank"" href=""http://www.dallasisd.org/skyline"">http://www.dallasisd.org/skyline</a>",Dallas,75227,Skyline High School,25,High,9725023400,25,220,7777 Forney Rd.,Skyline High School,Point,-96.69055741,32.78051519,"32.78051519,-96.69055741"
