Date/Time,Year,Month,Day,Hour,Monitored Line,Contingency Name,Direction,N-X,Outage Line,Outage From Bus,Outage To Bus,Start Bus ID,End Bus ID,abs(LCDF),date
10/8/2020 12:00:00 AM,2020,10,8,1,6017__A,DCPSJON5,F,N-2,EL_TE_91_A,TELPHN91T2_8,S_HOUS91TP_8,43322,48098,0.5055,2020-10-8
10/8/2020 12:00:00 AM,2020,10,8,1,651__B,DCPSST58,F,N-2,12T219_1,L_NARUNA8_1Y,L_LAMPAS8_1Y,7063,7064,0.0622,2020-10-8
10/8/2020 12:00:00 AM,2020,10,8,1,122T122_1,SCOMCYP8,F,N-1,MONTEL_UVALDE1_1,MONTELL2A,UVALDE2A,8230,8231,0.1466,2020-10-8
10/8/2020 12:00:00 AM,2020,10,8,1,6500__B,DODEMOS5,F,N-3,6511__D,MIDESSA_8,TRLINCTN_T8,1059,11137,0.1602,2020-10-8
10/8/2020 12:00:00 AM,2020,10,8,1,BERGHE_AT1H,DZORHAY5,F,N-4,551T551_1,BROWN_5,L_TWINBU5_1Y,1444,76009,0.0502,2020-10-8
10/8/2020 12:00:00 AM,2020,10,8,1,14040__A,DMGSQAL5,R,N-3,6483__C,MIDKIFF_8,SHIPWRCK_8,1210,11218,0.1463,2020-10-8
10/8/2020 12:00:00 AM,2020,10,8,1,JCKSTP18_A,DHLJBLY5,F,N-2,SLTDM_SHRPSH_1,SALTDOMESUB9,SHROPSHRSUB9,5551,5555,0.0604,2020-10-8
10/8/2020 12:00:00 AM,2020,10,8,1,122T122_1,SCOMCYP8,F,N-1,68T221_1,L_VERDCR8_1Y,L_TURTCR8_1Y,7146,7442,0.1369,2020-10-8
10/8/2020 12:00:00 AM,2020,10,8,1,583T583_1,DBEFAI58,F,N-2,VENADO_TLINE_1,REVILLA4A,VENDPOI4A,8004,80084,0.0568,2020-10-8
10/8/2020 12:00:00 AM,2020,10,8,1,6500__B,DODEMOS5,F,N-3,6045__A,MIDLET_5,FSCOGEN_5,1021,1025,0.1983,2020-10-8
10/8/2020 12:00:00 AM,2020,10,8,1,6500__B,DODEMOS5,F,N-3,RIOPEC_WOODW21_1,RIOPECOS4A,TNWDWRDTAP1,6601,38330,0.0755,2020-10-8
10/8/2020 12:00:00 AM,2020,10,8,1,SOUTHA_VINSON1_1,DBWNKLN5,F,N-2,PUTN_SOLANU1_1,PUTN4A,SOLANUM4A,6309,61015,0.2514,2020-10-8
